ammp, 0: 0.060753
ammp, 1: 0.053342
ammp, 2: 0.044994
ammp, 3: 0.038675
ammp, 4: 0.034951
ammp, 5: 0.035940
ammp, 6: 0.035874
ammp, 7: 0.033690
ammp, 8: 0.033464
ammp, 9: 0.033007
ammp, 10: 0.032643
art110, 0: 0.120679
art110, 1: 0.114392
art110, 2: 0.105008
art110, 3: 0.111502
art110, 4: 0.117169
art110, 5: 0.116982
art110, 6: 0.117557
art110, 7: 0.117807
art110, 8: 0.111471
art110, 9: 0.116972
art110, 10: 0.107315
art470, 0: 0.120679
art470, 1: 0.114392
art470, 2: 0.105008
art470, 3: 0.111502
art470, 4: 0.117169
art470, 5: 0.116982
art470, 6: 0.117557
art470, 7: 0.117807
art470, 8: 0.111471
art470, 9: 0.116972
art470, 10: 0.107315
wupwise, 0: 0.742235
wupwise, 1: 0.815511
wupwise, 2: 0.922382
wupwise, 3: 0.917437
wupwise, 4: 0.915908
wupwise, 5: 0.916754
wupwise, 6: 0.916931
wupwise, 7: 0.916628
wupwise, 8: 0.917271
wupwise, 9: 0.917586
wupwise, 10: 0.916922
swim, 0: 0.713203
swim, 1: 0.718758
swim, 2: 0.721761
swim, 3: 0.722284
swim, 4: 0.722310
swim, 5: 0.722291
swim, 6: 0.722254
swim, 7: 0.722206
swim, 8: 0.722221
swim, 9: 0.722192
swim, 10: 0.722176
applu, 0: 0.430856
applu, 1: 0.478370
applu, 2: 0.506406
applu, 3: 0.525286
applu, 4: 0.523678
applu, 5: 0.528905
applu, 6: 0.527696
applu, 7: 0.528522
applu, 8: 0.529472
applu, 9: 0.528359
applu, 10: 0.529773
galgel, 0: 0.678239
galgel, 1: 0.709197
galgel, 2: 0.748382
galgel, 3: 0.767100
galgel, 4: 0.776756
galgel, 5: 0.781581
galgel, 6: 0.781860
galgel, 7: 0.778686
galgel, 8: 0.777376
galgel, 9: 0.773978
galgel, 10: 0.769257
apsi, 0: 1.505653
apsi, 1: 1.544168
apsi, 2: 1.561251
apsi, 3: 1.570357
apsi, 4: 1.577876
apsi, 5: 1.583615
apsi, 6: 1.588181
apsi, 7: 1.595147
apsi, 8: 1.601421
apsi, 9: 1.604201
apsi, 10: 1.608171
bzip2_source, 0: 1.658491
bzip2_source, 1: 1.659993
bzip2_source, 2: 1.659657
bzip2_source, 3: 1.659633
bzip2_source, 4: 1.659633
bzip2_source, 5: 1.659633
bzip2_source, 6: 1.659644
bzip2_source, 7: 1.659638
bzip2_source, 8: 1.659619
bzip2_source, 9: 1.659619
bzip2_source, 10: 1.659608
bzip2_graphic, 0: 1.391409
bzip2_graphic, 1: 1.430272
bzip2_graphic, 2: 1.428310
bzip2_graphic, 3: 1.428522
bzip2_graphic, 4: 1.428223
bzip2_graphic, 5: 1.428431
bzip2_graphic, 6: 1.428331
bzip2_graphic, 7: 1.428417
bzip2_graphic, 8: 1.428493
bzip2_graphic, 9: 1.434035
bzip2_graphic, 10: 1.434051
bzip2_program, 0: 1.174457
bzip2_program, 1: 1.229001
bzip2_program, 2: 1.233609
bzip2_program, 3: 1.235412
bzip2_program, 4: 1.234426
bzip2_program, 5: 1.237055
bzip2_program, 6: 1.235041
bzip2_program, 7: 1.237685
bzip2_program, 8: 1.239988
bzip2_program, 9: 1.239438
bzip2_program, 10: 1.239026
twolf, 0: 0.432569
twolf, 1: 0.446430
twolf, 2: 0.442414
twolf, 3: 0.430693
twolf, 4: 0.418615
twolf, 5: 0.408903
twolf, 6: 0.393743
twolf, 7: 0.384628
twolf, 8: 0.374085
twolf, 9: 0.363106
twolf, 10: 0.350651
